id,name,email,Assignment 1,Assignment 2,Midterm,Final
U7925901,Michael Smith,michael.smith@bu.edu,90,85,58,65
U5839201,Liam Carter,liam.carter@bu.edu,94,89,93,96
U1748392,Olivia Bennett,olivia.bennett@bu.edu,91,87,90,0
U9023746,Noah Mitchell,noah.mitchell@bu.edu,85,79,87,90
U6482910,Emma Rodriguez,emma.rodriguez@bu.edu,83,76,84,87
U3958207,Elijah Parker,elijah.parker@bu.edu,92,88,89,92
U7812945,Ava Collins,ava.collins@bu.edu,96,93,94,97
U2648391,Lucas Edwards,lucas.edwards@bu.edu,84,78,85,88
U8392017,Sophia Turner,sophia.turner@bu.edu,93,88,91,94
U5173829,Mason Phillips,mason.phillips@bu.edu,96,94,95,98
U9081726,Isabella Campbell,isabella.campbell@bu.edu,88,82,88,90
U3467281,Ethan Rivera,ethan.rivera@bu.edu,89,85,89,91
U7291834,Mia Stewart,mia.stewart@bu.edu,84,80,85,87
U1829374,James Morris,james.morris@bu.edu,91,86,90,92
U5647382,Charlotte Rogers,charlotte.rogers@bu.edu,94,90,92,95
U9182736,Benjamin Cook,benjamin.cook@bu.edu,86,81,87,89
U2736451,Amelia Morgan,amelia.morgan@bu.edu,92,89,91,93
U8473625,Alexander Bell,alexander.bell@bu.edu,96,95,96,99
U6357281,Harper Murphy,harper.murphy@bu.edu,85,80,86,88
U1928374,Daniel Bailey,daniel.bailey@bu.edu,89,84,88,91
U7463829,Evelyn Cooper,evelyn.cooper@bu.edu,93,89,92,94
U5837291,Matthew Richardson,matthew.richardson@bu.edu,87,83,87,89
U9183746,Abigail Cox,abigail.cox@bu.edu,91,87,90,92
U1829379,Ryan Brooks,ryan.brooks@bu.edu, 50,62,55,60
U3467281,Nora Simmons,nora.simmons@bu.edu,67,60,85,87
U2748395,David Howard,david.howard@bu.edu,78,70,80,83
U6372819,Emily Ward,emily.ward@bu.edu,89,86,89,91
U8493021,Joseph Torres,joseph.torres@bu.edu,94,91,93,95
U1938472,Elizabeth Peterson,elizabeth.peterson@bu.edu,86,82,87,88
U7283946,Samuel Gray,samuel.gray@bu.edu,90,86,90,92
U5648391,Sofia Ramirez,sofia.ramirez@bu.edu,95,92,94,96
U3829104,Henry James,henry.james@bu.edu,84,80,86,87
U9203847,Avery Watson,avery.watson@bu.edu,89,85,89,91
U8293746,Zoe Coleman,zoe.coleman@bu.edu,45,30,20,35
U4839201,Jackson Brooks,jackson.brooks@bu.edu,93,90,92,94
U2746381,Ella Kelly,ella.kelly@bu.edu,82,77,83,85
U9182735,Sebastian Sanders,sebastian.sanders@bu.edu,90,87,90,91
U6374829,Scarlett Price,scarlett.price@bu.edu,94,91,93,95
U1827364,Jack Bennett,jack.bennett@bu.edu,86,82,87,88
U7483920,Victoria Wood,victoria.wood@bu.edu,89,85,89,91
U5637281,Owen Barnes,owen.barnes@bu.edu,96,94,96,98
U9182734,Grace Ross,grace.ross@bu.edu,75,68,75,79
U3748291,Julian Henderson,julian.henderson@bu.edu,68,60,60,68

