id,name,email,Assignment 1,Assignment 2,Midterm,Final
1,Liam Carter,liam.carter@bu.edu,95,97,93,96
2,Olivia Bennett,olivia.bennett@bu.edu,92,94,90,93
3,Noah Mitchell,noah.mitchell@bu.edu,88,91,87,90
4,Emma Rodriguez,emma.rodriguez@bu.edu,85,88,84,87
5,Elijah Parker,elijah.parker@bu.edu,91,93,89,92
6,Ava Collins,ava.collins@bu.edu,96,98,94,97
7,Lucas Edwards,lucas.edwards@bu.edu,87,89,85,88
8,Sophia Turner,sophia.turner@bu.edu,93,95,91,94
9,Mason Phillips,mason.phillips@bu.edu,97,99,95,98
10,Isabella Campbell,isabella.campbell@bu.edu,89,91,88,90
11,Ethan Rivera,ethan.rivera@bu.edu,90,92,89,91
12,Mia Stewart,mia.stewart@bu.edu,86,88,85,87
13,James Morris,james.morris@bu.edu,91,93,90,92
14,Charlotte Rogers,charlotte.rogers@bu.edu,94,96,92,95
15,Benjamin Cook,benjamin.cook@bu.edu,88,90,87,89
16,Amelia Morgan,amelia.morgan@bu.edu,92,94,91,93
17,Alexander Bell,alexander.bell@bu.edu,98,100,96,99
18,Harper Murphy,harper.murphy@bu.edu,87,89,86,88
19,Daniel Bailey,daniel.bailey@bu.edu,90,92,88,91
20,Evelyn Cooper,evelyn.cooper@bu.edu,93,95,92,94
21,Matthew Richardson,matthew.richardson@bu.edu,89,90,87,89
22,Abigail Cox,abigail.cox@bu.edu,91,93,90,92
23,David Howard,david.howard@bu.edu,82,85,80,83
24,Emily Ward,emily.ward@bu.edu,90,91,89,91
25,Joseph Torres,joseph.torres@bu.edu,94,96,93,95
26,Elizabeth Peterson,elizabeth.peterson@bu.edu,88,89,87,88
27,Samuel Gray,samuel.gray@bu.edu,91,92,90,92
28,Sofia Ramirez,sofia.ramirez@bu.edu,95,97,94,96
29,Henry James,henry.james@bu.edu,87,88,86,87
30,Avery Watson,avery.watson@bu.edu,90,92,89,91
31,Jackson Brooks,jackson.brooks@bu.edu,93,94,92,94
32,Ella Kelly,ella.kelly@bu.edu,85,86,83,85
33,Sebastian Sanders,sebastian.sanders@bu.edu,91,92,90,91
34,Scarlett Price,scarlett.price@bu.edu,94,95,93,95
35,Jack Bennett,jack.bennett@bu.edu,88,89,87,88
36,Victoria Wood,victoria.wood@bu.edu,90,92,89,91
37,Owen Barnes,owen.barnes@bu.edu,97,98,96,98
38,Grace Ross,grace.ross@bu.edu,78,80,75,79
39,Julian Henderson,julian.henderson@bu.edu,65,70,60,68
40,Zoe Coleman,zoe.coleman@bu.edu,30,40,20,35
