id,name,email,Assignment 1,Assignment 2,Midterm,Final
1,Liam Carter,liam.carter@bu.edu,72,68,70,69
2,Olivia Bennett,olivia.bennett@bu.edu,66,64,63,67
3,Noah Mitchell,noah.mitchell@bu.edu,61,59,58,60
4,Emma Rodriguez,emma.rodriguez@bu.edu,55,58,57,56
5,Elijah Parker,elijah.parker@bu.edu,69,71,65,70
6,Ava Collins,ava.collins@bu.edu,74,73,72,75
7,Lucas Edwards,lucas.edwards@bu.edu,58,60,62,59
8,Sophia Turner,sophia.turner@bu.edu,67,66,64,68
9,Mason Phillips,mason.phillips@bu.edu,52,55,53,54
10,Isabella Campbell,isabella.campbell@bu.edu,70,72,71,73
11,Ethan Rivera,ethan.rivera@bu.edu,64,63,65,66
12,Mia Stewart,mia.stewart@bu.edu,59,61,60,58
13,James Morris,james.morris@bu.edu,68,67,69,70
14,Charlotte Rogers,charlotte.rogers@bu.edu,62,64,63,65
15,Benjamin Cook,benjamin.cook@bu.edu,57,56,58,59
16,Amelia Morgan,amelia.morgan@bu.edu,73,75,74,72
17,Alexander Bell,alexander.bell@bu.edu,76,78,74,77
18,Harper Murphy,harper.murphy@bu.edu,65,66,64,63
19,Daniel Bailey,daniel.bailey@bu.edu,60,62,61,59
20,Evelyn Cooper,evelyn.cooper@bu.edu,69,70,68,71
21,Matthew Richardson,matthew.richardson@bu.edu,58,57,56,60
22,Abigail Cox,abigail.cox@bu.edu,63,65,64,66
23,David Howard,david.howard@bu.edu,52,54,53,55
24,Emily Ward,emily.ward@bu.edu,71,72,70,73
25,Joseph Torres,joseph.torres@bu.edu,67,68,66,69
26,Elizabeth Peterson,elizabeth.peterson@bu.edu,60,61,59,62
27,Samuel Gray,samuel.gray@bu.edu,74,73,75,76
28,Sofia Ramirez,sofia.ramirez@bu.edu,69,71,70,72
29,Henry James,henry.james@bu.edu,55,57,56,58
30,Avery Watson,avery.watson@bu.edu,66,67,65,68
31,Jackson Brooks,jackson.brooks@bu.edu,72,74,73,75
32,Ella Kelly,ella.kelly@bu.edu,58,60,59,57
33,Sebastian Sanders,sebastian.sanders@bu.edu,63,62,64,65
34,Scarlett Price,scarlett.price@bu.edu,70,71,69,72
35,Jack Bennett,jack.bennett@bu.edu,61,60,62,63
36,Victoria Wood,victoria.wood@bu.edu,68,69,67,70
37,Owen Barnes,owen.barnes@bu.edu,75,76,74,77
38,Grace Ross,grace.ross@bu.edu,54,55,53,52
39,Julian Henderson,julian.henderson@bu.edu,48,50,45,49
40,Zoe Coleman,zoe.coleman@bu.edu,35,40,30,38
41,Chloe Nguyen,chloe.nguyen@bu.edu,88,90,92,89
42,Andrew Foster,andrew.foster@bu.edu,52,55,54,53
43,Victoria Lane,victoria.lane@bu.edu,63,65,62,64
44,Ryan Brooks,ryan.brooks@bu.edu,70,69,68,71
45,Nora Simmons,nora.simmons@bu.edu,66,67,65,64
46,Leo Griffin,leo.griffin@bu.edu,59,60,58,57
47,Hannah Diaz,hannah.diaz@bu.edu,73,74,72,75
48,Isaac Reed,isaac.reed@bu.edu,62,61,63,64
49,Lily Hughes,lily.hughes@bu.edu,55,56,54,53
50,Christopher Long,christopher.long@bu.edu,67,68,66,65
